Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
State-Space Models for Control and Identification,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_9,Henri-François RaynaudCaroline KulcsárRim Hammi,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_9,Chapter
A Sliding Mode Approach to Traffic Engineering in Computer Networks,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_6,Bernardo A. MovsichoffConstantino M. LagoaHao Che,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_6,Chapter
Modeling and Designing the Internet Congestion Control,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_7,Saverio Mascolo,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_7,Chapter
Dynamics of Congestion Control,Complex Dynamics in Communication Networks,,,,10.1007/10973509_2,Anna C. Gilbert,,https://link.springer.com/chapter/10.1007/10973509_2,Chapter
Nonlinear Instabilities in TCP-RED,Complex Dynamics in Communication Networks,,,,10.1007/10973509_12,Priya RanjanEyad H. AbedRichard J. La,,https://link.springer.com/chapter/10.1007/10973509_12,Chapter
Modeling TCP/RED: a Dynamical Approach,Complex Dynamics in Communication Networks,,,,10.1007/10973509_11,Hui ZhangMingjian LiuVladimir VukadinovićLjiljana Trajković,,https://link.springer.com/chapter/10.1007/10973509_11,Chapter
A Fairness Index for Communication Networks,New Directions and Applications in Control Theory,,,,10.1007/10984413_25,Wing Shing WongFengjun Li,,https://link.springer.com/chapter/10.1007/10984413_25,Chapter
Nonlinear Dynamics of TCP and its Implications to Network Performance,Complex Dynamics in Communication Networks,,,,10.1007/10973509_1,András VeresMiklós Boda,,https://link.springer.com/chapter/10.1007/10973509_1,Chapter
Global Stability of Nonlinear Congestion Control with Time-Delay,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_10,Zhikui WangFernando Paganini,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_10,Chapter
Models and Methods for Analyzing Internet Congestion Control Algorithms,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_4,Rayadurgam Srikant,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_4,Chapter
Stabilized Vegas,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_2,Hyojeong ChoeSteven H. Low,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_2,Chapter
Saturated Controller Design of an ABR Explicit Rate Algorithm for ATM Switches,Advances in Communication Control Networks,,,,10.1007/978-3-540-31597-1_8,Sophie TarbouriechMarco AriolaChaouki T. Abdallah,,https://link.springer.com/chapter/10.1007/978-3-540-31597-1_8,Chapter
PT-Radar: a programmable-data-plane-assisted port time-slot radar for LDoS detection and mitigation,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-026-00635-4,Xiaopu MaJinbo CaiKunhang YangXiancong LiHe Li,2026,https://link.springer.com/article/10.1007/s44443-026-00635-4,Article
