Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Intelligent Telemetry: P4-Driven Network Telemetry and&#xa0;Service Flow Intelligent Aviation Platform,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_27,Jing GaoFanqin ZhouMianxiong DongLei FengKaoru OtaZijian LiJiawei Fan,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_27,Conference paper
MFGAD-INT: in-band network telemetry data-driven anomaly detection using multi-feature fusion graph deep learning,Journal of Cloud Computing,,,,10.1186/s13677-023-00492-w,Yunfeng DuanChenxu LiGuotao BaiGuo ChenFanqin ZhouJiaxing ChenZehua GaoChun Zhang,2023,https://link.springer.com/article/10.1186/s13677-023-00492-w,Article
Network Abnormality Diagnosis Visualization for Computing and Network Convergence Environment,Information Processing and Network Provisioning,,,,10.1007/978-981-96-6462-7_33,Jiachang GaoJing GaoLei FengSheng Hong,2025,https://link.springer.com/chapter/10.1007/978-981-96-6462-7_33,Conference paper
Dynamic Data Driven Security Framework for&#xa0;Industrial Control Networks Using Programmable Switches,Dynamic Data Driven Applications Systems,,,,10.1007/978-3-031-94895-4_16,Reuben Samson RajDong Jin,2026,https://link.springer.com/chapter/10.1007/978-3-031-94895-4_16,Conference paper
EdgeGuardIA: an adaptive in-network machine learning framework for real-time IoT gateway security,International Journal of Information Technology,,,,10.1007/s41870-025-02838-w,Katukojwala Praveen KumarT. Senthil MuruganRamojjala Saketh,2025,https://link.springer.com/article/10.1007/s41870-025-02838-w,Article
Forecasting-Oriented Management of&#xa0;Software-Defined Fabric Environments,Dependable and Secure Computing,,,,10.1007/978-3-032-11539-3_21,Ariel L. C. PortelaMaria C. M. M. FerreiraRafael L. Gomes,2026,https://link.springer.com/chapter/10.1007/978-3-032-11539-3_21,Conference paper
AI-Enhanced Security for Programmable Data Planes,AI Agents for Secure and Software-Defined Networking,,,,10.1007/979-8-8688-2358-9_16,Het Mehta,2026,https://link.springer.com/chapter/10.1007/979-8-8688-2358-9_16,Chapter
"Virtualization, Cloudification, and Service Orientation of Network: A Systematic Review",Journal of Computer Science and Technology,,,,10.1007/s11390-024-4817-6,Shuo QuanShen GaoJian-Song ZhangJie Wu,2025,https://link.springer.com/article/10.1007/s11390-024-4817-6,Article
C2B-DroneNet: cyber clone-driven blockchain process for secure and efficient drone network operations,International Journal of Information Security,,,,10.1007/s10207-025-01149-2,Burhan Ul Islam KhanAabid A. MirAbdul Raouf KhanKhang Wen GohSuresh SankaranarayananMd. Alamin Bhuyian,2026,https://link.springer.com/article/10.1007/s10207-025-01149-2,Article
User feedback in continuous software engineering: revealing the state-of-practice,Empirical Software Engineering,,,,10.1007/s10664-024-10557-2,Anastasiia TkalichEriks KlotinsTor SporsemViktoria StrayNils Brede MoeAstri Barbala,2025,https://link.springer.com/article/10.1007/s10664-024-10557-2,Article
NetChecker: enabling real-time and error-locatable runtime verification for programmable networks,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00083-6,Ying YaoLe TianYuxiang Hu,2025,https://link.springer.com/article/10.1007/s44443-025-00083-6,Article
Cybersecurity Via Programmable Networks: Are We There Yet?,Journal of Network and Systems Management,,,,10.1007/s10922-025-09970-9,Sergio Armando GutiérrezJuan Felipe BoteroLuis FletscherLuciano Paschoal GasparyNatalia GaviriaEduardo JacobAdrian LaraJesús Arturo Pérez-DíazMarco Antonio To,2025,https://link.springer.com/article/10.1007/s10922-025-09970-9,Article
SwitchLog: A Logic Programming Language for&#xa0;Network Switches,Practical Aspects of Declarative Languages,,,,10.1007/978-3-031-24841-2_12,Vaibhav MehtaDevon LoehrJohn SonchackDavid Walker,2023,https://link.springer.com/chapter/10.1007/978-3-031-24841-2_12,Conference paper
