original_title,original_doi,original_authors,original_year,original_url,original_publication,abstract,citation_count,reference_count,venue,publisher,issn,isbn,pages,language,source_file,fetch_timestamp,data_sources
SRv6-INT Enabled Network Monitoring and&#xa0;Measurement: Toward High-Yield Network Observability for&#xa0;Digital Twin,10.1007/978-981-96-1698-5_12,Xu ZhangChuan FengPengchao HanWei LiuXiaoxue GongQiupei ZhangLei Guo,2025,https://link.springer.com/chapter/10.1007/978-981-96-1698-5_12,"Proceedings of the 3rd International Conference on Machine Learning, Cloud Computing and Intelligent Mining (MLCCIM2024)",,1,21,Lecture notes in electrical engineering,Springer Nature Singapore,"1876-1100, 1876-1119","9789819616978, 9789819616985",113-126,en,p4+srv6csv.csv,2026-04-17 18:22:07,"Crossref, OpenAlex"
Design and Implementation of SRv6 Routing Module in Computing and Network Convergence Environment,10.1007/978-981-99-9247-8_24,Jing GaoWenkuo DongLei FengWenjing Li,2024,https://link.springer.com/chapter/10.1007/978-981-99-9247-8_24,Proceedings of the 13th International Conference on Computer Engineering and Networks,,0,7,Lecture notes in electrical engineering,Springer Nature Singapore,"1876-1100, 1876-1119","9789819992461, 9789819992478",238-248,en,p4+srv6csv.csv,2026-04-17 18:22:14,"Crossref, OpenAlex"
A Service Customized Reliable Routing Mechanism Based on SRv6,10.1007/978-3-031-19211-1_27,Peichen LiDeyong ZhangXingwei WangBo YiMin Huang,2022,https://link.springer.com/chapter/10.1007/978-3-031-19211-1_27,"Wireless Algorithms, Systems, and Applications",,0,13,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783031192104, 9783031192111",321-332,en,p4+srv6csv.csv,2026-04-17 18:22:21,"Crossref, SemanticScholar, OpenAlex"
A data plane security model of segmented routing based on SDP trust enhancement architecture,10.1038/s41598-022-12858-2,Liang WangHailong MaYiming JiangYin TangShuodi ZuTao Hu,2022,https://link.springer.com/article/10.1038/s41598-022-12858-2,Scientific Reports,"Segment routing (SR) technology is a new network functional technology derived from MPLS technology and based on SDN. Combining SR with software-defined perimeter (SDP), a new network security technology, is expected to solve the traditional problems such as data monitoring, denial of service, and new threats such as loop attack and label detection faced by SR data plane. Focusing on the security management of access devices in the SR data plane, first, this paper proposes an SR security model SbSR (SDP-based SR) based on SDP trust enhancement architecture, then, two-level SDP AH trust verification mechanism and 4 trust management mechanisms including initial trust value, trust evaluation, trust renewal, trust inheritance are designed. In the trust evaluation mechanism as the core of the model, System cloud grey model (1,1) weighted Markov prediction model is introduced to obtain real-time trust based on the historical behavior of device nodes, and 4 indexes, namely benign message ratio, loyal forwarding ratio, forwarding ratio stationarity coefficient, packet rate stationarity coefficient, are introduced to distinguish malicious devices from normal devices. Finally, the simulation test results of 5 security functions and security costs show that the proposed architecture can solve port scanning, traffic monitoring, topology detection, loop attack, and DoS attack of SR network data plane with an average access delay cost of 2.84 s for each new network agent, and realize multi-faceted protection of SR network data plane.",8,39,Scientific Reports,Springer Science and Business Media LLC,2045-2322,,,en,p4+srv6csv.csv,2026-04-17 18:22:25,"Crossref, SemanticScholar, OpenAlex"
Quality of Service (QoS),10.1007/978-3-030-81961-3_11,Toerless EckertStewart Bryant,2021,https://link.springer.com/chapter/10.1007/978-3-030-81961-3_11,"Future Networks, Services and Management",,2,57,,Springer International Publishing,,"9783030819606, 9783030819613",309-344,en,p4+srv6csv.csv,2026-04-17 18:22:29,"Crossref, OpenAlex"
Intelligent Telemetry: P4-Driven Network Telemetry and&#xa0;Service Flow Intelligent Aviation Platform,10.1007/978-981-96-2830-8_27,Jing GaoFanqin ZhouMianxiong DongLei FengKaoru OtaZijian LiJiawei Fan,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_27,Network and Parallel Computing,,0,13,Lecture notes in computer science,Springer Nature Singapore,"0302-9743, 1611-3349","9789819628292, 9789819628308",348-359,en,p4驱动的网络遥测.csv,2026-04-17 18:22:36,"Crossref, SemanticScholar, OpenAlex"
MFGAD-INT: in-band network telemetry data-driven anomaly detection using multi-feature fusion graph deep learning,10.1186/s13677-023-00492-w,Yunfeng DuanChenxu LiGuotao BaiGuo ChenFanqin ZhouJiaxing ChenZehua GaoChun Zhang,2023,https://link.springer.com/article/10.1186/s13677-023-00492-w,Journal of Cloud Computing,"As the cloud services market grows, cloud management tools that detect network anomalies in a non-intrusive manner are critical to improve users’ experience of cloud services. However, some network anomalies, such as Microburst, in cloud systems are very discreet. Network monitoring methods, e.g., SNMP, Ping, are of coarse temporal granularity or low-dimension metrics, have difficulty to identify such anomalies quickly and accurately. Network telemetry is able to collect rich network metrics with fine temporal granularity, which can provide deep insight into network anomalies. However, the rich features in the telemetry data are insufficient exploited in existing research. This paper proposes a Multi-feature Fusion Graph Deep learning approach driven by the In-band Network Telemetry, shorted as MFGAD-INT, to efficiently extract and process the spatial-temporal correlation information in telemetry data and effectively identify the anomalies. The experimental results show that the accuracy performance of the proposed method improves about 10.56% compared to the anomaly detection method without network telemetry and about 9.73% compared to the network telemetry-based method.",5,47,Journal of Cloud Computing Advances Systems and Applications,Springer Science and Business Media LLC,2192-113X,,,en,p4驱动的网络遥测.csv,2026-04-17 18:22:39,"Crossref, SemanticScholar, OpenAlex"
Network Abnormality Diagnosis Visualization for Computing and Network Convergence Environment,10.1007/978-981-96-6462-7_33,Jiachang GaoJing GaoLei FengSheng Hong,2025,https://link.springer.com/chapter/10.1007/978-981-96-6462-7_33,Information Processing and Network Provisioning,,0,11,Communications in computer and information science,Springer Nature Singapore,"1865-0929, 1865-0937","9789819664610, 9789819664627",368-379,en,p4驱动的网络遥测.csv,2026-04-17 18:22:42,"Crossref, OpenAlex"
Dynamic Data Driven Security Framework for&#xa0;Industrial Control Networks Using Programmable Switches,10.1007/978-3-031-94895-4_16,Reuben Samson RajDong Jin,2026,https://link.springer.com/chapter/10.1007/978-3-031-94895-4_16,Dynamic Data Driven Applications Systems,,0,22,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783031948947, 9783031948954",153-161,en,p4驱动的网络遥测.csv,2026-04-17 18:22:49,"Crossref, SemanticScholar, OpenAlex"
EdgeGuardIA: an adaptive in-network machine learning framework for real-time IoT gateway security,10.1007/s41870-025-02838-w,Katukojwala Praveen KumarT. Senthil MuruganRamojjala Saketh,2025,https://link.springer.com/article/10.1007/s41870-025-02838-w,International Journal of Information Technology,,0,32,International Journal of Information Technology,Springer Science and Business Media LLC,"2511-2104, 2511-2112",,,en,p4驱动的网络遥测.csv,2026-04-17 18:22:53,"Crossref, SemanticScholar, OpenAlex"
